화장실명,소재지도로명주소,위도,경도
가산문화센터,서울특별시 금천구 가산디지털1로 118,37.47614465,126.88377542433352
금천세무서,서울특별시 금천구 시흥대로152길 11-21,37.4768502,126.9003296
금천우체국,"서울특별시 금천구 시흥대로 410, 서울금천우체국 (독산동)",37.47014572,126.89852494
서울시흥동우체국,"서울특별시 금천구 독산로 123, 시흥본동우체국 (시흥동)",37.45822583,126.90507093
금천노인종합복지관,서울특별시 금천구 시흥대로51길 93-32,37.4513072,126.901318
kt 금천전화국,서울특별시 금천구 시흥대로 139,37.4476965,126.9031554
남부여성발전센터,서울특별시 금천구 독산로50길 23,37.4623377,126.9099579
동남주유소,서울특별시 금천구 범안로 1155,37.4670772,126.8997497
㈜태영유업,서울특별시 금천구 시흥대로 484,37.4476965,126.9031554
KH에너지㈜직영 시흥대로 주유소,서울특별시 금천구 시흥대로 221,37.4476965,126.9031554
SK네트웍스㈜ 박미주유소,서울특별시 금천구 시흥대로 39-7,37.4476965,126.9031554
일신주유소,서울특별시 금천구 시흥대로 118,37.4476965,126.9031554
SK네트웍스㈜ 순환도로주유소,서울특별시 금천구 남부순환로 1410,37.4808467,126.9097652
백운주유소,서울특별시 금천구 시흥대로 282,37.4476965,126.9031554
백산주유소,서울특별시 금천구 시흥대로 174,37.4476965,126.9031554
주식회사 명보에너지,서울특별시 금천구 시흥대로 377,37.4476965,126.9031554
SK네트웍스㈜ 이가주유소,서울특별시 금천구 시흥대로 441,37.4476965,126.9031554
동광석유㈜ 구광주유소,서울특별시 금천구 서부샛길 674,37.4782327,126.877344
경복에너지,서울특별시 금천구 독산로 147,37.4797872,126.9039286
대득에너지(금천셀프주유소),서울특별시 금천구 시흥대로 81,37.4412362,126.9029299
중앙에너비스㈜ 삼중가스지점,서울특별시 금천구 시흥대로 314,37.4476965,126.9031554
세한벤처월드,서울특별시 금천구 시흥대로 281,37.4476965,126.9031554
고려빌딩,서울특별시 금천구 시흥대로 421,37.4476965,126.9031554
효연빌딩,서울특별시 금천구 가산로 116,37.4717291,126.9005104
미도빌딩,서울특별시 금천구 시흥대로 473,37.4476965,126.9031554
삼일빌딩,서울특별시 금천구 가산로 78,37.4717291,126.9005104
